time,close,high,low,open,volumefrom,volumeto
1404691200,623,627.93,607.32,626.65,8802.38,5516326.75
1404950400,635.9,638.59,611.66,623,10161.87,6401656.59
1405209600,619.6,638.64,616.06,635.9,7950.4,4994849.33
1405468800,627.47,632.55,610.01,619.6,9264.02,5816009.81
1405728000,625.13,634.14,615.02,627.47,8798.07,5544649.4
1405987200,601.87,628.81,599.38,625.13,10189.17,6337906.11
1406246400,595.03,609.06,593.25,601.87,12928.67,7805835.66
1406505600,564.64,597.49,564.18,595.03,13153.51,7752345.45
1406764800,591.72,603.99,564.01,564.64,14571.07,8693418.65
1407024000,588.76,595.09,580.62,591.72,8763.96,5229403.15
1407283200,595.85,608.2,587.2,588.76,8620.34,5143998.1
1407542400,575.89,596.64,571.72,595.85,5325.39,3152569.83
1407801600,504.8,578.29,495.94,575.89,19024.03,10162773
1408060800,485.5,524.71,478.22,504.8,11781.56,5948809.82
1408320000,516.78,521.84,449.95,485.5,17384.99,8414688.35
1408579200,497.68,537.17,493.98,516.78,14803.61,7687994.4
1408838400,512.56,516.04,496.81,497.68,8801.44,4534942.22
1409097600,512.56,527.37,503.34,512.56,11893.22,6166353.64
1409356800,477.19,512.91,471.78,512.56,15511.88,7581201.18
1409616000,490.99,498.47,470.54,477.19,21698.62,10655677.19
1409875200,485.75,495.02,478.49,490.99,13392.01,6651640.45
1410134400,479.7,491.04,467.52,485.75,23722.05,11536764.96
1410393600,478.17,488.92,471.14,479.7,16709.81,8171261.46
1410652800,466.75,480.33,463.95,478.17,16357.96,7924806.71
1410912000,397.67,469.39,386.1,466.75,31398.34,13531878.47
1411171200,404.09,427.69,387.5,397.67,38225.26,15681185.78
1411430400,412.29,445.51,394.75,404.09,53932.89,22852234.75
1411689600,379.08,416.42,374.12,412.29,35787.49,14370246.5
1411948800,382.84,395.18,372.63,379.08,55336.61,21338035.76
1412208000,335.32,385.59,327.1,382.84,54144.76,19800412.38
1412467200,331.65,347.94,294.92,335.32,101196.55,33230680.3
1412726400,361.71,384.61,325.43,331.65,85771.33,30828394.22
1412985600,387.32,391.22,350.49,361.71,48730,18062191.26
1413244800,379.77,407.74,371.56,387.32,72137.1,28416790.01
1413504000,387.28,395.71,372.42,379.77,31339.18,12070787.27
1413763200,378.93,388.24,376.97,387.28,30748.65,11886225.98
1414022400,346.72,381.08,341.53,378.93,53198.82,19114400.2
1414281600,351.06,356.8,344.19,346.72,31612.09,11226049.55
1414540800,337.87,352.83,333.44,351.06,42388.83,14596350.98
1414800000,324.24,339,319.81,337.87,39104.47,12854648.98
1415059200,347.67,351.14,320.11,324.24,46602.9,15686402.71
1415318400,362.04,362.21,339.8,347.67,35833.45,12516673.86
1415577600,432.03,442.73,356.6,362.04,77124.08,29941916.82
1415836800,374.86,480.45,367.97,432.03,107260.09,44740926.37
1416096000,379.16,412.33,370.54,374.86,69045.43,26844911.41
1416355200,351.77,389.29,343.8,379.16,65319.08,23968093.06
1416614400,378.85,388.72,350.51,351.77,49922.26,18381542.15
1416873600,368.83,395.73,363.99,378.85,83146.25,31465639.47
1417132800,374.93,389.3,358.37,368.83,137756.71,52371001.18
1417392000,376.96,384.87,373.02,374.93,68463.13,26096461.66
1417651200,376.26,380.43,366.24,376.96,66393.87,24954489.55
1417910400,352.19,377.88,343.82,376.26,75556.53,27370162.33
1418169600,353.4,367.13,337.8,352.19,105065.35,37089055.79
1418428800,345.37,353.1,343.56,353.4,54045.5,18912293.96
1418688000,310.34,346.45,303.4,345.37,160444.5,51768542.68
1418947200,322.63,332.62,306.36,310.34,92300.98,29634197
1419206400,322.4,339.32,319.89,322.63,80954.66,26864881.74
1419465600,315.34,332.88,311.98,322.4,60026.31,19385304.72
1419724800,311.27,322.84,308.28,315.34,63546.94,20103349.04
1419984000,315.21,321.36,308.89,311.27,48045.57,15219861.74
1420243200,274.84,315.83,255.87,315.21,191128.96,53460339.55
1420502400,282.69,296.06,271.52,274.84,72789.05,20721116.72
1420761600,264.77,290.59,263.76,282.69,50760.72,14233312.08
1421020800,164.92,273.08,157.29,264.77,291565.41,62556862.87
1421280000,199.65,231.26,164.55,164.92,230118.72,47566500.69
1421539200,210.55,220.73,192.51,199.65,109430.52,23100346.08
1421798400,232.17,238.78,207.11,210.55,135057.04,30754077.79
1422057600,269.18,310.91,229.58,232.17,189142.44,50327889.5
1422316800,233.99,276.9,220.36,269.18,168517.18,41734847.39
1422576000,225.29,244.83,209.71,233.99,131544.83,30019893.23
1422835200,226.58,247.48,220.23,225.29,157336.79,36461376.68
1423094400,227.68,231,214.35,226.58,132919.38,29730864.61
1423353600,219.67,230.23,214.44,227.68,206881.19,45634954.26
1423612800,236.17,241.58,217.28,219.67,234097.14,53236981.92
1423872000,235.83,264.57,226.56,236.17,428406.57,104422423.8
1424131200,241.92,247.17,231.7,235.83,281975.22,67592370.58
1424390400,235.73,247.76,232.72,241.92,202237.61,49112967.89
1424649600,237.33,240.25,231.33,235.73,145801.69,34736858.36
1424908800,254.06,258.72,233.5,237.33,258089.45,64347383.14
1425168000,280.65,287.06,244.77,254.06,297237.72,80177283.88
1425427200,272.56,284.47,262.81,280.65,361438.26,99271321.39
1425686400,290.02,293.26,269.41,272.56,262886.4,73870024.78
1425945600,293.85,300.96,288.12,290.02,345480.27,101808225.08
1426204800,284.88,294.92,279.3,293.85,212516.6,61023327.25
1426464000,255.92,294.01,248.19,284.88,338093.36,93522546.84
1426723200,259.71,264.8,247,255.92,285176.45,73791623.32
1426982400,246.72,271.01,242.67,259.71,289168.56,74763825.66
1427241600,247.21,254.69,234.84,246.72,283476.71,70048536.85
1427500800,246.79,254.25,236.55,247.21,217930.08,53826159.74
1427760000,252.6,254.85,239.57,246.79,223776.28,55282238.94
